date;value
2024-01-01;554784.0
2023-12-01;672967.0
2023-11-01;623010.0
2023-10-01;606718.0
2023-09-01;593695.0
2023-08-01;628192.0
2023-07-01;605403.0
2023-06-01;612243.0
2023-05-01;631496.0
2023-04-01;588220.0
2023-03-01;604084.0
2023-02-01;529374.0
2023-01-01;547156.0
2022-12-01;654825.0
2022-11-01;605205.0
2022-10-01;597170.0
2022-09-01;577966.0
2022-08-01;613508.0
2022-07-01;599929.0
2022-06-01;609743.0
2022-05-01;616626.0
2022-04-01;596690.0
2022-03-01;598541.0
2022-02-01;507901.0
2022-01-01;516923.0
2021-12-01;627113.0
2021-11-01;574978.0
2021-10-01;553588.0
2021-09-01;529133.0
2021-08-01;550169.0
2021-07-01;552179.0
2021-06-01;557446.0
2021-05-01;565177.0
2021-04-01;554269.0
2021-03-01;560218.0
2021-02-01;437031.0
2021-01-01;461308.0
2020-12-01;557696.0
2020-11-01;490941.0
2020-10-01;493601.0
2020-09-01;474038.0
2020-08-01;487325.0
2020-07-01;492689.0
2020-06-01;479784.0
2020-05-01;461785.0
2020-04-01;376867.0
2020-03-01;426258.0
2020-02-01;413923.0
2020-01-01;417123.0
2019-12-01;518979.0
2019-11-01;467189.0
2019-10-01;454941.0
2019-09-01;428241.0
2019-08-01;472517.0
2019-07-01;461010.0
2019-06-01;447578.0
2019-05-01;474963.0
2019-04-01;441878.0
2019-03-01;446272.0
2019-02-01;384243.0
2019-01-01;398783.0
2018-12-01;493167.0
2018-11-01;459172.0
2018-10-01;441746.0
2018-09-01;417072.0
2018-08-01;455946.0
2018-07-01;441604.0
2018-06-01;443603.0
2018-05-01;464101.0
2018-04-01;420099.0
2018-03-01;444873.0
2018-02-01;380562.0
2018-01-01;389703.0
2017-12-01;496745.0
2017-11-01;441923.0
2017-10-01;417753.0
2017-09-01;412522.0
2017-08-01;431797.0
2017-07-01;416908.0
2017-06-01;423071.0
2017-05-01;434511.0
2017-04-01;407256.0
2017-03-01;423016.0
2017-02-01;365610.0
2017-01-01;369102.0
2016-12-01;482011.0
2016-11-01;413933.0
2016-10-01;397425.0
2016-09-01;394237.0
